company_id,indicator_id,2010,2011,2012,2013,2014,2015,2016
1430523,ShareBasedCompensation,,,,,982823,612390,
1430523,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,,,,,15378858,,
1430523,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,1000,,
1430523,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,0,,
1430523,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,,0,,
1430523,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,0,,
1430523,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,0,,
1430523,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,0,,
1430523,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,50,,
1430523,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,0,,
1430523,SharePrice,,,,,,0.06,
1430523,SharesIssuedPricePerShare,,,,,0.17,,
1430523,StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,0,0,
1430523,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,,,220000,327805,
1430523,StockIssuedDuringPeriodValueIssuedForServices,,,,,970065,612390,
1430523,StockIssuedDuringPeriodValueNewIssues,,,,,842668,276000,
1430523,StockIssuedDuringPeriodValuePurchaseOfAssets,,,,,300000,,
1430523,StockIssuedDuringPeriodValueShareBasedCompensation,,,,,,160730,
1430523,StockRepurchasedAndRetiredDuringPeriodShares,,,,,53198347,,
1430523,StockRepurchasedAndRetiredDuringPeriodValue,,,,,1287082,112500,
1430523,StockholdersEquity,,,,,1556098,-1807652,
1430523,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,-1807652,
1430523,ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,687769,917296,
1430523,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,65628920,106933513,
1430592,AccountsPayableCurrent,,9740000,15008000,20801000,21678000,26933000,
1430592,AccountsPayableOtherCurrent,,,,,337000,964000,
1430592,AccountsPayableTradeCurrent,,,,,3105000,3580000,
1430592,AccountsReceivableNetCurrent,,30495000,44627000,63805000,66001000,71287000,
1430592,AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,,-29000,69000,359000,
1430592,AccruedBonusesCurrent,,9177000,8624000,10329000,5623000,12384000,
1430592,AccruedPayrollTaxesCurrent,,328000,234000,502000,313000,766000,
1430592,AccruedRentCurrentAndNoncurrent,,600000,6900000,7500000,9700000,10500000,
1430592,AccruedSalesCommissionCurrent,,1320000,667000,482000,1025000,279000,
1430592,AccruedVacationCurrent,,2357000,2615000,2775000,3061000,3513000,
1430592,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,10440000,6536000,10561000,12531000,18595000,
1430592,AdditionalPaidInCapital,,298196000,323448000,361955000,404908000,,
1430592,AdditionalPaidInCapitalCommonStock,,,,,,461139000,
1430592,AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,1023000,,,,,
1430592,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,1718000,699000,3473000,2000000,3514000,
1430592,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,5751000,10345000,16415000,19743000,26213000,
1430592,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,1962000,1145000,12449000,24331000,
1430592,AdvertisingExpense,,3600000,5900000,6400000,6900000,8200000,
1430592,AllocatedShareBasedCompensationExpense,,5823000,10372000,16518000,19765000,26028000,
1430592,AllowanceForDoubtfulAccountsReceivable,,67000,102000,124000,,,
1430592,AllowanceForDoubtfulAccountsReceivableChargeOffs,,,276000,,,,
1430592,AllowanceForDoubtfulAccountsReceivableCurrent,,67000,102000,124000,172000,225000,
1430592,AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,426000,569000,885000,
1430592,AmortizationOfDeferredSalesCommissions,,1423000,1932000,1869000,1525000,1717000,
1430592,AmortizationOfIntangibleAssets,,5923000,6125000,6402000,5974000,4900000,
1430592,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,326000,1064000,324000,845000,1633000,
1430592,AssetManagementFees,,108215000,150872000,,,,
1430592,AssetManagementFees1,,,,202811000,,,
1430592,Assets,,254443000,306833000,375681000,435045000,482580000,
1430592,AssetsCurrent,,195158000,247891000,333795000,389590000,423986000,
1430592,CapitalExpendituresIncurredButNotYetPaid,,,,1063000,1118000,574000,
1430592,CapitalLeaseObligationsCurrent,,,69000,78000,116000,106000,
1430592,CapitalLeaseObligationsIncurred,,,255000,34000,169000,216000,
1430592,CapitalLeaseObligationsNoncurrent,,,164000,124000,151000,266000,
1430592,CapitalLeasesFutureMinimumPaymentsDue,,,251000,214000,281000,398000,
1430592,CapitalLeasesFutureMinimumPaymentsDueCurrent,,,69000,78000,125000,118000,
1430592,CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,0,,
1430592,CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,44000,5000,7000,44000,
1430592,CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,69000,53000,50000,118000,
1430592,CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,69000,78000,99000,118000,
1430592,CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,0,,
1430592,CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,18000,12000,14000,26000,
